,Marca,Modelo,Descrição,Valor,embedding_musical,categoria_musical,specs_musicais
55,DATREL,BAS4X10,"Caixa Bass 4 AF 10 - 4 ohms 4x10"" 400 W ",1541.94,CATEGORIA_MUSICAL: INSTRUMENTO_CORDA || CONTEXTO: instrumento musical corda orquestra camerata || MARCA: DATDL || MODELO: BAS4X10 || ESPECIFICACOES_MUSICAIS: DIMENSAO_INSTRUMENTO: 4 10 || DESCRICAO_MUSICAL: CAIXA BASS 4 AF 10 - 4 OHMS 4X10 400 W,INSTRUMENTO_CORDA,"{'DIMENSAO_INSTRUMENTO': ['4', '10']}"
56,DATREL,KIT12-250BLU,"Caixa Ativa e Passiva 12"" 250 W bluetooth",1584.72,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: KIT12-250BLU || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: CAIXA ATIVA E PASBVA 12 250 W BLUETOOTH,EQUIPAMENTO_CAIXA_SOM,{'AFINACAO': ['E']}
57,DATREL,SWA 400,"Caixa Sub Woofer ativo 15"" 400 W ",1617.58,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: DATDL || MODELO: SWA 400 || DESCRICAO_MUSICAL: CAIXA SUB WOOFER ATIVO 15 400 W,OUTROS,{}
58,DATREL,AT12X2,"Caixa Ativa ( 4 ohms) 12"" 400W bluetooth",1627.5,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: AT12X2 || DESCRICAO_MUSICAL: CAIXA ATIVA ( 4 OHMS) 12 400W BLUETOOTH,EQUIPAMENTO_CAIXA_SOM,{}
59,DATREL,KIT HDSDSOO,"Cabo M. Uso + 02 Caixas 12"" CE 250P  250 W ",1648.58,CATEGORIA_MUSICAL: EQUIPAMENTO_AUDIO || CONTEXTO: equipamento som audio microfone cabo || MARCA: DATDL || MODELO: KIT HDSDSOO || DESCRICAO_MUSICAL: CABO M USO + 02 CAIXAS 12 CE 250P 250 W,EQUIPAMENTO_AUDIO,{}
60,DATREL,AT 15.500 b,"Caixa Ativa 15"" 500 W bluetooth",1675.24,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: AT 15 500 B || DESCRICAO_MUSICAL: CAIXA ATIVA 15 500 W BLUETOOTH,EQUIPAMENTO_CAIXA_SOM,{}
61,DATREL,KIT12-250NT,"Caixa Ativa e Passiva 12"" 250 W ",1726.7,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: KIT12-250NT || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: CAIXA ATIVA E PASBVA 12 250 W,EQUIPAMENTO_CAIXA_SOM,{'AFINACAO': ['E']}
62,DATREL,KIT12-250MT,"Monitor ativo e passivo 12"" 250W ",1734.14,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: KIT12-250MT || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: MONITOR ATIVO E PASBVO 12 250W,EQUIPAMENTO_CAIXA_SOM,{'AFINACAO': ['E']}
63,DATREL,KITSWA12-300,"Sub Woofer ativo e passivo 12"" 300 W ",1740.34,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: DATDL || MODELO: KITSWA12-300 || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: SUB WOOFER ATIVO E PASBVO 12 300 W,OUTROS,{'AFINACAO': ['E']}
64,DATREL,KIT12-250TBL,"Caixa Ativa e Passiva 12"" 250 W bluetooth",1799.86,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: KIT12-250TBL || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: CAIXA ATIVA E PASBVA 12 250 W BLUETOOTH,EQUIPAMENTO_CAIXA_SOM,{'AFINACAO': ['E']}
